codigo,nombre,precio,categoria
"RD0303D","Dije covergold concha de mar abierta con perla 5mm x und","8300","Nueva Importación"
"RD0072D","Dije covergold herradura circón plateado 13x10mm","4500","Nueva Importación"
"RD0358D","Dije covergold concha pintado azul 16mm x und","4500","Nueva Importación"
"RD0099D","Dije rodinado pandora avión, cámara, paisaje playa x und","10000","Nueva Importación"
"RD0059D","Dije rodinado pandora trébol herradura mariquita x und","10000","Nueva Importación"
"ZD1097D","Dije zamak tulipán 27x12mm x und","2500","Nueva Importación"
"ZD1090D","Dije zamak ojo 26x12mm x und","2500","Nueva Importación"
"ZD1094D","Dije zamak rosa 27x12mm x und","2500","Nueva Importación"
"RD0083D","Dije rodinado pandera palmera maleta flor x und","10000","Nueva Importación"
"RM0027D","Medalla rodinado virgen 12x12mm x und","6000","Medallas |"
"ZM0236D","Medalla zamak san benito 26.5x23.5mm x und","2300","Medallas |"
"ZM0234D","Medalla zamak san benito 26.5x23.5mm x und","2300","Medallas |"
"RM0020D","Medalla rodinada milagrosa nácar circón plateado 18x16mm x und","8500","Medallas |"
"RM0063D","Medalla covergold sagrado corazon nácar 20x17mm x und","13000","Medallas |"
"RD0897D","Dije rodinado ojo con resina blanco 28x22mm x und","6500","Dijes"
"RD0896D","Dije rodinado ojo turco resina negra 28x22mm x und","6500","Dijes"
"RD1047D","Dije rodinado ojo pestaña 11 puntos 19x21mm x und","2000","Dijes"
"RD0880D","Dije rodinado ojo verde agua marina circón plateado 11x15mm x und","5500","Dijes"
"RD0889D","Dije rodinado mano hamsa cristal azul 24x14mm x und","7500","Dijes"
"RD0877D","Dije rodinado corazon cristal azul circón plateado 21x17.5mm x und","7500","Amor y relaciones"
"RD0876D","Dije rodinado luna cristal azul circón plateado23x15mm x und","7500","Dijes"
"RD0982D","Dije rodinado ángel de la guarda resina verde 19x20mm x und","2500","Dijes"
"RD0887D","Dije rodinado corazón resina beige ojo pestaña cristal rosado 21x19mm x und","10000","Dijes"
"ZD1011D","Dije zamak corazon puntos resina roja 19x19mm x und","3000","Amor y relaciones"
"RM0042BI","Medalla rodinada san benito bicolor 13x10mm x und","5700","Medallas |"
"RM0041BI","Medalla rodinada virgen de guadalupe bicolor 14x9mm x und","5700","Medallas |"
"RM0040BI","Medalla rodinada bicolor virgen milagrosa 14x9mm x und","5700","Medallas |"
"RC2001D","Cristo rodinado circón plateado 23x15mm x und","5500","Dijes"
"RC0624D","Centro pulsera rodinado cruz circón plateado 18x9mm x und","5000","Dijes"
"RD0767D","Dije covergold letra Q 23x22mm x und","6000","Dijes cover gold"
"RD0757D","Dije covergold letra G 23x22mm x und","6500","Dijes cover gold"
"RD0766D","Dije covergold letra P 23x22mm x und","6000","Dijes cover gold"
"RD0770D","Dije covergold letra T 23x22mm x und","6000","Dijes cover gold"
"RD0765D","Dije covergold letra O 23x22mm x und","6000","Dijes cover gold"
"RD0759D","Dije covergold letra I 23x22mm x und","6000","Dijes cover gold"
"RD1190D","Dije rodinado cangrejo cristal rojo 11.5x15mm x und","3000","Nueva Importación"
"RD1185D","Dije rodinado pez esmalte verde 28x11.5mm x und","9000","Nueva Importación"
"RD1191D","Dije rodinado cangrejo cristal negro 11.5x15mm x und","3000","Nueva Importación"
"RD1182D","Dije rodinado pez esmalte rojo 28x11.5mm x und","9000","Nueva Importación"
"RD1174D","Dije rodinado pez esmaltado rojo 35x9mm x und","11000","Nueva Importación"
"RD1175D","Dije rodinado pez esmaltado blanco 35x9mm x und","11000","Nueva Importación"
"RD1176D","Dije rodinado pez esmaltado azul rey 35x9mm x und","11000","Nueva Importación"
"RD1177D","Dije rodinado pez esmaltado azul claro 35x9mm x und","11000","Nueva Importación"
"RD1183D","Dije rodinado pez esmalte verde 28x11.5mm x und","9000","Nueva Importación"
"RD1192D","Dije rodinado cangrejo cristal transparente 11.5x15mm x und","3000","Nueva Importación"
"RD1184D","Dije rodinado pez esmalte azul rey 28x11.5mm x und","9000","Nueva Importación"
"RD1179D","Dije rodinado pez esmaltado blanco 30x8mm x und","9000","Nueva Importación"
"RD1180D","Dije rodinado pez esmaltado azul rey 30x8mm x und","9000","Nueva Importación"
"RD1178D","Dije rodinado pez esmaltado rojo 30x8mm x und","9000","Nueva Importación"
"RD1186D","Dije covergold langosta verde menta 27x15mm x und","6500","Nueva Importación"
"RD1193D","Dije covergold colibrí 18x20mm x und","2500","Nueva Importación"
"ZM0222D","Medalla zamak san benito 22.5mm x und","2000","Cruceros"
"ZD1076D","Dije zamak cangrejo 14x20mm x und","1400","Dijes"
"ZD1079D","Dije zamak pulpo 20mm x und","1700","Dijes"
"ZD0831D","Dije zamak flor 16x18mm x und","1500","Dijes"
"ZD0447D","Dije zamak planeta júpiter 15x22mm x und","1400","Dijes"
"ZD0963D","Dije zamak ala 18x7.5mm x 6und","3600","Dijes"
"RD0875D","Dije rodinado trébol 16x13.5mm x und","9000","Dijes rodinados"
"RD0418D","Dije covergold cangrejo 9x10mm x und","5200","Pelgy al mar"
"RD1105D","Dije covergold ballena 15x19mm x und","4000","Pelgy al mar"
"RM0011D","Medalla rodinado san benito 35x22mm x und","8500","Medallas |"
"RM0021D","Medalla rodinado circulo con cruz 23.5mm x und","6000","Medallas |"
"RM0019D","Medalla rodinado sello san benito 24x21.5mm x und","7500","Medallas |"
"RD0902D","Dije rodinado mano 13x9mm x und","4000","Dijes"
"RD0900D","Dije rodinado mano 13x9mm x und","4000","Dijes"
"ZM0239BI","Medalla zamak san benito 25x21.5mm x und","2300","Medallas |"
"RD1200D","Dije covergold campana navidad 15x19mm x und","7500","Colecciones Pelgy"
"ZM0074D","Medalla zamak virgen del carmen 44x29mm x und","4000","Medallas |"
"ZM0240BI","Medalla zamak bicolor san benito 25x21.5mm x und","2300","Medallas |"
"RD0755D","Dije covergold letra E 23x22mm x und","6000","Dijes"
"RD0752D","Dije covergold letra B 23x22mm x und","6000","Dijes"
"RD0772D","Dije covergold letra Y 23x22mm x und","6000","Dijes"
"RD0768D","Dije covergold letra R 23x22mm x und","6000","Dijes"
"RD0771D","Dije covergold letra V 23x22mm x und","6000","Dijes"
"ZD0336D","Dije zamak corazon 10x9mm x par","2400","Amor y relaciones"
"ZM0198N","Medalla zamak san miguel 30x40mm x und","2300","Medallas |"
"RD0909D","Dije rodinado corazon con alas resina roja circón plateado 42.5x48mm x und","13000","Amor y relaciones"
"RD1119D","Dije covergold redondo pintado blanco corazon dorado 14x12mm x unidad","5000","Amor y relaciones"
"RD1106D","Dije rodinado ovalado virgen de guadalupe con circón 17x12mm x unidad","4200","Dijes"
"ZD0913D","Dije zamak circulo martillado corazon 17x14mm x par","2800","Amor y relaciones"
"ZD1023D","Dije zamak ojo con pestañas 9 puntos 17x20mm x par","3000","Dijes"
"ZM0220D","Medalla zamak virgen milagrosa 25x15.5mm x unidad","2100","Medallas |"
"ZC2053D","Cruz zamak san benito 22x37mm x unidad","2400","Dijes"
"ZD1043D","Dije zamak silueta flor de loto 15x17mm x3 unidades","3300","Dijes"
"ZD0921D","Dije zamak amuleto circulo blanco 11:11 16mm x unidad","3000","Dijes"
"ZM0162D","Medalla zamak virgen de guadalupe para tejer 14mm x par","3000","Medallas |"
"ZD1080D","Dije zamak circulo sol 20x17mm x par","3000","Dijes"
"ZD1081D","Dije zamak sol 19x15mm x par","2600","Dijes"
"ZD1044D","Dije zamak silueta media luna 20x16mm paquete x3 unidades","3900","Nueva Importación"
"ZD1037D","Dije zamak circulo relieve ojo con pestañas 15.5x13.5mm paquete x3 unidades","3600","Dijes"
"ZD1036D","Dije zamak circulo relieve corazon doble cara 10x8mm x6 unidades","3600","Amor y relaciones"
"ZM0281N","Medalla zamak san miguel arcángel 35x30mm x und","1500","Medallas |"
"ZM0279N","Medalla zamak san josé 35x30mm x und","1500","Medallas |"
"ZM0278N","Medalla zamak virgen del carmen 35x30mm x und","1500","Medallas |"
"ZM0201N","Medalla zamak virgen milagrosa 30x40mm x und","1500","Medallas |"
"RD070C48","Dije separador resina corazón 30x24mm x und","5600","Amor y relaciones"
"RD069C48","Dije separador resina + amor 30x24mm x und","5600","Colecciones Pelgy"
"RD068C48","Dije separador corazón + fe 31x27mm x und","5600","Colecciones Pelgy"
"RD0024D","Dije covergold rosa roja 25x11mm x unidad","5100","Dijes"
"RD0028D","Dije covergold concha plana 15x15mm x unidad","4300","Dijes"
"ZD1088D","Dije zamak pez KOI 17.5x11mm x par","2400","Dijes"
"ZD1082D","Dije zamak trebol 14x10mm x3 unidades","3000","Dijes"
"RD00030D","Dije covergold virgen de guadalupe resina blanca 18x11mm x unidad","4300","Dijes"
"RD072C5","Dije resina corazón anatómico 33x25mm x und","7000","Amor y relaciones"
"RD0025D","Dije covergold helado 15x6mm x unidad","5100","Dijes"
"RD1210D","Dije cono mixto en covergold 19x9mm x und","6000","Colecciones Pelgy"
"0761MO","Dije en piedra natural ovalado ágata morada 23x13mm x und","11500","Colecciones Pelgy"
"RD1205D","Dije trébol en rodinado con circón mixto 19x17mm x und","6800","Colecciones Pelgy"
"VD15C13","Dije en vidrio hongo verde 30x16mm x und","3325","Colecciones Pelgy"
"0761AR","Dije en piedra natural ovalado ágata roja 23x13mm x und","13200","Colecciones Pelgy"
"VD15C36","Dije en vidrio hongo naranja con flor 33x19mm x und","3325","Colecciones Pelgy"
"RD1207D","Dije papitas fritas en covergold 14x9mm x und","6800","Colecciones Pelgy"
"RD1208D","Dije porción de pastel en covergold 16x10mm x und","6800","Colecciones Pelgy"
"RD1214D","Dije rodinado niña redondo en nacar 14x12mm x und","6300","Colecciones Pelgy"
"RD1213D","Dije rodinado niño redondo en nacar 14x12mm x und","6300","Amor y relaciones"
"RD1217D","Dije redondo corazón rojo con circón 22x20mm x und","7000","Amor y relaciones"
"RD1215BI","Dije covergold sagrado corazón de jesús 25x20mm x und","9500","Colecciones Pelgy"
"RD1204D","Dije rodinado Ala martillado circón mixto 22x8.5mm x und","6800","Colecciones Pelgy"
"RD1206D","Dije rodinado corazón martillado con circon mixto 17x9mm x und","6800","Amor y relaciones"
"RD1211D","Dije cerveza en covergold 12x8mm x und","6000","Colecciones Pelgy"
"ZM0266N","Medalla zamak ovalada san judas 25x16mm paq x6 unid","3600","Medallas |"
"ZC2083N","Cruz zamak luz de cristo 59x32mm paq x6 unidades","3600","Dijes"
"ZM0273N","Medalla zamak San Peter y San paulo 25x16mm paq x12 unidades","4000","Medallas |"
"ZM0289N","Medalla zamak circular santísimas trinidad y espíritu santo 17x14mm paq x12","3600","Medallas |"
"AM0219D","Medalla acero san benito resinado 27x19mm x und","5000","Medallas |"
"AM0224N","Medalla circular acero san benito resinado 25x21mm","4300","Medallas |"
"AM0226N","Medalla acero circular virgen milagrosa resinada 25x21mm x und","4300","Medallas |"
"AM0225N","Medalla acero San Miguel Arcángel resinado 25x21mm x unid","4300","Medallas |"
"AM0223N","Medalla acero sagrado corazón de Jesús resinado 25x21mm x und","4300","Medallas |"
"AM0227N","Medalla acero virgen de guadalupe resinada 25x21mm x und","4300","Medallas |"
"AM0219N","Medalla acero ovalada San Benito 25x21mm x und","4300","Medallas |"
"AM0218N","Medalla acero ovalada sagrado corazón de Jesús 27x19mm x und","4300","Medallas |"
"AM0220N","Medalla acero ovalada San Miguel Arcángel 27x19mm x unid","4300","Medallas |"
"AM0221N","Medalla acero ovalada virgen milagrosa 27x19mm","4300","Medallas |"
"AM0222N","Medalla acero ovalada Virgen de Guadalupe 27x19mm x und","4300","Medallas |"
"AM0227D","Medalla acero circular Virgen de guadalupe 25x21mm x und","5000","Medallas |"
"AM0226D","Medalla acero circular Virgen Milagrosa 25x21mm x und","5000","Medallas |"
"AM0224D","Medalla acero circular San Benito 25x21mm x und","5000","Medallas |"
"AM0223D","Medalla circular sagrado corazón de Jesús resinado 25x21mm x und","5000","Medallas |"
"AM0222D","Medalla acero ovalada Virgen de Guadalupe 27x19mm x und","5000","Medallas |"
"AM0221D","Medalla acero ovalada Virgen Milagrosa 27x19mm x und","5000","Medallas |"
"ZM0280N","Medalla en zamak niquelada San benito 35x30 mm","1500","Medallas |"
"ZM0284N","Medalla en zamak niquelada Divino niño 35x30 mm","1500","Medallas |"
"ZM0256N","Medalla en zamak niquelada Virgen de fatima 26x14 mm","3000","Medallas |"
"ZM0257N","Medalla en zamak san benito 11x8 mm","6000","Medallas |"
"ZM0268N","Medalla en zamak niquelada San ignacio 26x16.5 mm","4200","Medallas |"
"ZM0004N","Medalla en zamak niquelada San benito 12x17 mm","6000","Medallas |"
"ZM0272N","Medalla en zamak niquelada Virgen de Santa Marta 26x16mm x 12und","4000","Medallas |"
"ZM0267N","Medalla en zamak niquelada Juan Pablo 26x16.5 mm","5400","Medallas |"
"ZM0113N","Medalla en zamak niquelada Virgen Maria Auxiliadora 29x44 mm","2300","Medallas |"
"ZM0261N","Medalla en zamak niquelada Santa Filomena 25x16 mm","4200","Medallas |"
"ZM0263N","Medalla en zamak niquelada San Francisco de Asis 25x16 mm","4200","Medallas |"
"ZD1104N","Dije zamak luna calada estrella 17x10mm paq x12 unid","1200","Dijes"
"ZD1079N","Dije zamak pulpo 20x20mm paquete x12 unidades","3700","Dijes"
"ZD1077N","Dije zamak mantarraya 20x16mm paq x12 unidades","3300","Dijes"
"ZC2025N","Cruz zamak calada 11x23mm paq x12 unidades","1500","Dijes"
"ZD1035N","Dije zamak corazón mini borde punteado 8x6.5mm paq x12","1200","Amor y relaciones"
"ZC2038N","Cruz zamak cristo relieve 19x35mm x 6und","2100","Dijes de zamak"
"ZC2010N","Cruz zamak cristo mini 18.5x9mm x 12und","1200","Dijes de zamak"
"ZD1105N","Dije zamak herradura y trébol 16x15mm paq x12 unidades","2500","Dijes"
"ZD1078N","Dije zamak caballito de mar 29x13mm paq x12 unidades","2700","Dijes"
"7224-1N","Cruz zamak san benito cristo 41x21mm x 12und","3400","Dijes de zamak"
"ZS0127N","Separador cruz relieve 10*13mm x 12und","3300","Dijes de zamak"
"ZC2055N","Cruz zamak trinidad 24.5x34.5 x 6und","2100","Dijes de zamak"
"ZD0447N","Dije zamak planeta júpiter 15x22mm paq x12","2400","Dijes"
"ZD1087N","Dije zamak lazo lucha contra el cancer 14.5x9mm paq x12","1000","Dijes"
"ZD1089N","Dije zamak colibrí 13x18mm paq x12 unidades","3000","Dijes"
"ZD1082N","Dije zamak trébol 14x10mm paq 12 unidades","1000","Dijes"
"ZD1106N","Separador zamak mano hamsa mini 10x12mm","1800","Dijes"
"ZD1080N","Dije zamak circulo sol 20x17mm paq x12","3400","Dijes"
"ZD1088N","Dije zamak pez Koi 17.5x11mm paquete x12","1500","Dijes"
"ZD1076N","Dije zamak cangrejo 14x20mm","2000","Dijes"
"ZD1054N","Dije en zamak nudo de bruja 16x15mm paquete x12 unidades","1800","Dijes"
"ZD1053N","Dije zamak fresa 15x11mm paquete x12 unidades","2700","Dijes"
"RD1229D","Dije covergold rosa 20x10mm x und","5600","Nuevas colecciones"
"RD1224D","Dije covergold captus 18.5x14.5mm x und","4800","Nuevas colecciones"
"RD1228D","Dije covergold avion 19x10mm x und","3500","Nuevas colecciones"
"RD1223D","Dije covergold corazon 17x16mm x und","4800","Amor y relaciones"
"RD1221D","Dije covergold corazon 17x16mm x und","4800","Amor y relaciones"
"RD1225D","Dije covergold rosa 20x19mm x und","4800","Nuevas colecciones"
"RD1230D","Dije covergold rosa 24x10mm x und","5600","Nuevas colecciones"
"RD1226D","Dije covergold tulipan 35x8mm x und","7300","Nuevas colecciones"
"RD1222D","Dije covergold Corazon 17x14mm x und","4800","Amor y relaciones"
"RD1220D","Dije covergold corazon multicolor 17x14mm x und","4800","Amor y relaciones"
"RD1232D","Dije covergold corazon 20x25mm x und","6000","Amor y relaciones"
"RD1240D","Dije covergold estrella de mar resina rojo 31x29mm x und","4000","Pelgy al mar"
"RD060C38","Dije resina langosta 49.5x27mm x und","5500","Dije de resina"
"DA054","Dije acrílico mariposa traslucido boreal rosado 47x59mm x 2und","2600","Acrílicos|"
"RD1243D","Dije covergold estrella de mar resina verde 31x29mm x und","4000","Pelgy al mar"
"DA058","Dije acrílico figuras de mar x 20gramos","2500","Acrílicos|"
"RD1242D","Dije covergold estrella de mar resina rosado 31x29mm x und","4000","Pelgy al mar"
"RD1241D","Dije covergold estrella de mar resina blanca 31x29mm x und","4000","Pelgy al mar"
"RD1238D","Dije covergold estrella de mar resina amarilla 31x29mm x und","4000","Pelgy al mar"
"RD1236D","Dije covergold sol 20x16mm x und","2800","Dijes"
"RD1237D","Dije covergold sol 20x16mm x und","2800","Dijes"
"FD0001C5","Dije filamento corazón 37x32mm x und","5500","Amor y relaciones"
"FD0003C36","Dije filamento chontaduro 36x29mm x und","8000","Colecciones Pelgy"
"FD0005C4","Dije redondo filamento corazon fucsia 38mm x und","8000","Amor y relaciones"
"FD0004C36","Dije filamento media naranja 40x30mm x und","7000","Colecciones Pelgy"
"FD0005C50","Dije redondo filamento corazon rojo 38mm x und","8000","Amor y relaciones"
"RD1247D","Dije covergold corazon resina 32x30mm x und","7100","Amor y relaciones"
"0775CJ","Dije cruz cuarzo jade 29x18mm x und","5100","Dijes"
"RD1248D","Dije covergold corazon resina roja 22x21mm x und","6500","Amor y relaciones"
"RM0066D","Medalla covergold ovalada virgen guadalupe 26x18mm x und","6500","Medallas |"
"RM0065D","Medalla covergold ovalada señor misericordioso 26x18mm x und","6500","Medallas |"
"RM0064D","Medalla covergold ovalada san miguel arcángel 26x18mm x und","6500","Medallas |"
"RD1244D","Dije covergold sagrado corazon 21x12mm x und","5100","Amor y relaciones"
"FD0002C5","Dije filamento ají rojo 52x10mm x und","5500","Colecciones Pelgy"
"ZD1112D","Dije zamak sueña resina rosado 16x19mm x und","3500","Dijes"
"ZD0574D","Dije zamak sueña resina roja 16x19mm x und","35000","Dijes"
"ZD1114D","Dije zamak corazon resina azul celeste 20x22mm x und","3700","Amor y relaciones"
"ZD1115D","Dije zamak corazon resina rosado 20x22mm x und","3700","Amor y relaciones"
"ZD0920D","Dije zamak amuleto 11:11 azul claro 16mm x unidad","3000","Dijes"
"ZD0919D","Dije zamak amuleto 11:11 rosado 16mm x unidad","3000","Dijes"
"ZD1116D","Dije zamak rosa roja 27x12mm x und","2500","Dijes"
"ZD1110D","Dije zamak Dios resina azul 16x19mm x und","3500","Dijes"
"ZD1109D","Dije zamak corazón rosado11x12.5 mm x und","2800","Amor y relaciones"
"ZD1108D","Dije zamak corazón azul celeste 11x12.5 mm x und","2800","Amor y relaciones"
"ZD1014D","Dije zamak corazon puntos resina rosada 19x19mm x und","3000","Amor y relaciones"
"ZD0911D","Dije zamak ojo turco 11 puntos 29mm x und","4000","Dijes"
"RD076C41","Dije resina flor cayena amarilla 47mm x und","14000","Colecciones Pelgy"
"RD077C19","Dije resina palma tropical naranja 68x43mm x und","13000","Colecciones Pelgy"
"RD077C79","Dije resina palma tropical verde 68x43mm x und","13000","Colecciones Pelgy"
"DA060","Dije acrílico mariposa traslucida boreal fucsia 32x41mm x 2und","1400","Dijes"
"DA062","Dije acrílico mariposa traslucida boreal verde 32x41mm x 2und","1400","Dijes"
"DA066","Dije acrílico mariposa traslucida boreal rosado 32x41mm x 2und","1400","Dijes"
"DA061","Dije acrílico mariposa traslucida boreal rojo 32x41mm x 2und","1400","Dijes"
"DA059","Dije acrílico mariposa traslucida boreal lila 32x41mm x 2und","1400","Dijes"
"DA063","Dije acrílico mariposa traslucida boreal azul 32x41mm x 2und","1400","Dijes"
"DA067","Dije acrílico mariposa traslucida boreal transparente 32x41mm x 2und","1400","Dijes"
"DA065","Dije acrílico mariposa traslucida boreal beige 32x41mm x 2und","1400","Dijes"
"DA064","Dije acrílico mariposa traslucida boreal amarillo 32x41mm x 2und","1400","Dijes"
"DA073","Dije acrílico corazon plano caramelo 30x34mm x 2und","3000","Acrílicos|"
"DA069","Dije acrílico corazon plano color fucsia 30x34mm x 2und","3000","Acrílicos|"
"DA068","Dije acrílico corazon plano color rosado 30x34mm x 2und","3000","Acrílicos|"
"DA074","Dije acrílico corazon plano color marfil 30x34mm x 2und","3000","Acrílicos|"
"DA072","Dije acrílico corazon plano color rojo 30x34mm x 2und","3000","Acrílicos|"
